C,0.151,0.151,0.083,0.083,0.084,0.082,0.082,0.084,0.083,0.083,0.083,0.083,977 [Test]
,0.09,0.09,0.084,0.084,0.081,0.082,0.083,0.083,0.081,0.082,0.083,0.083,900 [Ref]
,0.343,0.339,-0.007,-0.004,0.014,-0.001,-0.004,0.004,0.012,0.007,-0.001,-0.003,Pathlength
,0.701,0.75,0.09,0.089,0.092,0.09,0.09,0.094,0.091,0.09,0.089,0.089,562
,2.045,2.213,-13.455,-20.115,6.342,-80.82,-23.091,21.06,7.783,13.575,-160.74,-32.22,Corrected [562]
D,0.154,0.152,0.151,0.151,0.148,0.148,0.148,0.151,0.152,0.151,0.15,0.147,977 [Test]
,0.092,0.089,0.09,0.089,0.087,0.087,0.086,0.088,0.088,0.089,0.088,0.088,900 [Ref]
,0.34,0.347,0.339,0.343,0.34,0.34,0.344,0.345,0.353,0.345,0.344,0.33,Pathlength
,0.392,0.393,0.511,0.504,0.47,0.471,0.466,0.201,0.195,0.215,0.222,0.197,562
,1.153,1.134,1.509,1.47,1.383,1.384,1.354,0.583,0.552,0.623,0.643,0.595,Corrected [562]
E,0.15,0.151,0.151,0.15,0.148,0.146,0.15,0.15,0.084,0.083,0.084,0.081,977 [Test]
,0.09,0.089,0.091,0.091,0.089,0.085,0.09,0.087,0.084,0.084,0.085,0.082,900 [Ref]
,0.337,0.342,0.334,0.331,0.327,0.337,0.334,0.349,-0.004,-0.003,-0.005,-0.006,Pathlength
,0.23,0.235,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,0.086,0.091,0.091,0.091,0.089,562
,0.681,0.688,?????,?????,?????,?????,?????,0.246,-23.374,-32.616,-18.28,-14.629,Corrected [562]
F,0.15,0.15,0.083,0.081,0.08,0.08,0.08,0.08,0.083,0.084,0.082,0.079,977 [Test]
,0.088,0.09,0.083,0.082,0.079,0.081,0.081,0.079,0.082,0.085,0.084,0.081,900 [Ref]
,0.341,0.337,-0.002,-0.006,0.007,-0.008,-0.008,0.008,0.005,-0.004,-0.007,-0.008,Pathlength
,0.155,0.156,0.089,0.091,0.089,0.09,0.089,0.089,0.091,0.091,0.09,0.089,562
,0.453,0.464,-40.185,-14.94,13.35,-10.824,-11.404,11.507,18.24,-20.565,-13.545,-10.656,Corrected [562]
G,0.15,0.152,0.082,0.082,0.079,0.081,0.081,0.08,0.082,0.081,0.081,0.082,977 [Test]
,0.087,0.09,0.083,0.08,0.08,0.08,0.081,0.079,0.08,0.083,0.083,0.082,900 [Ref]
,0.347,0.346,-0.006,0.007,-0.007,0.004,-0.005,0.006,0.008,-0.012,-0.01,0.001,Pathlength
,0.123,0.117,0.089,0.09,0.089,0.09,0.09,0.089,0.09,0.09,0.089,0.089,562
,0.356,0.34,-14.613,12.531,-13.335,23.066,-18,16.11,10.764,-7.706,-8.9,161.1,Corrected [562]
H,0.153,0.147,0.086,0.079,0.081,0.078,0.079,0.081,0.079,0.083,0.083,0.081,977 [Test]
,0.09,0.087,0.086,0.079,0.081,0.079,0.079,0.08,0.08,0.084,0.084,0.08,900 [Ref]
,0.349,0.336,-0.003,-0.001,-0.001,-0.006,-0.001,0.005,-0.003,-0.007,-0.006,0.006,Pathlength
,0.086,0.086,0.092,0.089,0.089,0.088,0.089,0.089,0.089,0.089,0.088,0.088,562
,0.246,0.255,-27.6,-79.83,-160.74,-15.912,-160.38,17.82,-26.79,-13.41,-14.465,15.858,Corrected [562]
